Title,Location,Company,Salary,Description,Time
Social Media Executive,"Pune, Maharashtra",,,"We are looking for a driven Social Media Specialist to attract and interact with targeted virtual communities and networks users.
Social media specialists should have a solid understanding of how each social media channel works and how to optimize content so that it is engaging on those channels. You are responsible for joining relevant conversations on behalf of the brand and “soft selling” the product by providing support to current and prospective customers.
Responsibilities
Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identification
Generate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take action
Set up and optimize company pages within each platform to increase the visibility of company’s social content
Moderate all user-generated content in line with the moderation policy for each community
Create editorial calendars and syndication schedules
Continuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the information
Collaborate with other departments (customer relations, sales etc) to manage reputation, identify key players and coordinate actions
Engage, build strategies, increase followers and reach
Liaison with influencers for deals and ensure KPIs are met
Requirements
Proven working experience in the social media marketing or as a digital media specialist
Excellent consulting, writing, editing (photo/video/text), presentation and communication skills
Demonstrable social networking experience and social analytics tools knowledge
Adequate knowledge of all social media platforms
Knowledge of online marketing and a good understanding of major marketing channels
Positive attitude, detail and customer-oriented with good multitasking and organizational ability
Fluency in English
Degree in Communications, Marketing, Business, New Media or Public Relations
Job Type: Full-time
Experience:
Social Media Executive: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Pune, Maharashtra (Preferred)",2020-06-05
Online Python Trainer (Female candidates only),"Pune, Maharashtra","₹30,000 - ₹50,000 a month","₹30,000 - ₹50,000 a month","WhiteHat Jr was created to solve the #1 gap in the global school system today.
Today, in the computer age, less than 1% of schools teach coding in early childhood. Result, a major gap in the requirements of the new world and our children’s skills.
WhiteHat Jr prepares kids & teenagers 6-18 for this new world. Kids learn the fundamentals of coding--logic, structure, sequence and algorithmic thinking--to generate creative outcomes eg animations and apps
Coding Experience Required (Python is a plus)
**
Job description :
Love Working with students? You've found your dream job.
Earn more than Rs 30,000 per month immediately.
Teach Online: Flexible Work Hours & Location.
Get Coding Expert Certification
You'll teach students aged 15-18 coding (algorithms, data structure)
All classes are taught live 1:1 online. Choose your own location and timing but please be available 4-9 p.m. daily and on weekends to maximize your earnings.
**
Responsibilities and Duties
Coding experience is required. Python knowledge is good to have.
WhiteHat Jr provides curriculum and digital platform and trains you free as a Certified Coding Expert
Pre-Requisites Passion for Teaching Kids aged 15-18. High Speed Internet, Modern Laptop/PC with Microphone and Camera
Fluency in English is a must
Get Certification from Discovery and Google Alumni
Qualifications and Skills
College Degree in Computer, Math, Science Fields preferred. Freshers can also apply.
Teacher, Work from Home, Online Tutor, Teaching, Home Tutor, coding teacher, computer teacher, home teacher, kids teacher
Degrees: B.tech, M.tech, BCA, MCA, BE, ME
Coding Experience Required.
Job Type: Full-time
Salary: ₹30,000.00 to ₹50,000.00 /month",2020-05-30
Summer Internship Program,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","₹15,000 - ₹25,000 a month","About Company - Vestige Group of Company which start operation in the year 2004 and leading retail and fmcg dealing world class wellness product.Vestige facilities which are GMP & Halal certified.
Vestige is an ISO 9001:2015 certified company belived in world class facilities, and annual turn over about 2000 Cr.world wide.
About the Internship /Job
We are looking candidates for summer internship Project work from home based due to COVID -19
Benifits
1) We provide internship certificate those who successfully completed internship Project through courier service.
2) Internship Project done under special guidence.
3) A Vestige brand T-shirt send through courier those who completed successfully Internship Training.
4) After completing internship candidate to get job opportunity with excellent package .
5) Every candidate to support in grow up in future.
Education Qualifications
12th / Any Graduate / Post Graduate appearing or passed
Diploma / Bsc / Msc / BBA / MBA in Agriculture / horticulture appearing or passed
Language
Hindi & Local language
Duration of Internship
For Agriculture background minimum internship duration is 03 months
And other background minimum internship duration is 45 days.
**Training charger only Rs 1500/- applicable with various above facilities
Gender
Male and Female
Thanks
Stay Home Save Lives !
Job Types: Full-time, Internship
Pay: ₹15,000.00 - ₹25,000.00 per month
Education:
Higher Secondary(12th Pass) (Preferred)
Benefits:
Work from home
Flexible work hours
Industry:
Retail
Work Remotely:
Yes",2020-06-07
Store Incharge,"Pune, Maharashtra","₹18,000 - ₹25,000 a month","₹18,000 - ₹25,000 a month","*Day to day recording of store material receipts and consumption, checking physical stock as per records.
Receiving materials, proper stocking, and recording of receipts. Issue of materials as per the issue slip for different Projects / Office/staff.
Making GRN, Shortage note, Rejection Note & other movement.
Collection of balance and unused materials at the end of working day/project.
Conveys materials and items from receiving or production areas to storage or to other designated areas.
Sorts and places materials or items on racks, shelves, or in bins according to predetermined sequence such as size, type, style, color, or product code.
Sorts and stores materials in systematic manner as defined in store policy & procedures.
Fills requisitions, work orders, or requests for materials, tools, or other stock items and distributes items to project / site.
Marks materials with identifying information.
Records amounts of materials or items received or distributed.
Weighs or counts items for distribution within plant to ensure conformance to company standards.
Arranges stock parts in specified sequence for assembly by other workers.
Maintains inventory records.
Data entry / documentation of the stores transactions as.
Writing of check lists, reports, log books etc .
Checking of documents before release of materials.
Coordinate with transportation / in charge for material shifting/ delivering.
Any other job / responsibility assigned by immediate supervisor from time to time.
Responsible for notification of Substandard / duplicate materials, intimate the same to department head on top priority.
Should have working knowledge of Talley ERP.
Job Type: Full-time
Salary: ₹18,000.00 to ₹25,000.00 /month
Experience:
management: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Language:
Marathi (Preferred)
Work Remotely:
No",2020-06-02
Office Assistant,"Pune, Maharashtra","₹12,000 a month","₹12,000 a month","Need a female graduate to work as office administrative staff. taking notes of daily meetings, mailing correspondences to the clients. Maintaining files required for IMS (Integrated Management systems). must be fluent in using the computer and MS Office. Must have good time management skills. Must be proactive in completing the work and reporting to the management. Weekly one day holiday (Sunday). Work timings are from 9am to 6pm. Only Female candidates to apply. Prefarably staying in Pimpri-Chinchwad area
Job Types: Full-time, Contract
Salary: ₹12,000.00 /month
Experience:
total work: 5 years (Preferred)
office assistant: 5 years (Preferred)
Education:
Bachelor's (Required)
Typing Speed:
Less than 25 words per minute (Preferred)
Duties:
Taking notes/dictation
Handle billing / accounts/Inventory
Maintain files and records
Scheduling appointments
Vendor Management
Administrative Duties:
Scheduling
Sorting and sending mail
Answering and routing phone calls
Work Remotely:
No",2020-06-09
Front Desk Receptionist,"Pune, Maharashtra",,,"Require a Smart professional candidate to meet, greet and welcome members and guests at the reception and lobby of club Area 37. (www.area37.club)
The candidate will also be required to take new prospective members on a tour of the premises and showcase the facilities and amenities. Must be well spoken and should have good communication skills and good people skills.
Job Types: Full-time, Contract
Experience:
Front desk - Receptionist: 1 year (Preferred)
hospitality: 1 year (Preferred)
Duties:
Maintain files and records
Scheduling appointments
Administrative Duties:
Scheduling
Answering and routing phone calls
Managing social media
Greeting visitors
Work Remotely:
No",2020-06-09
Translator,"Pune, Maharashtra","₹8,000 - ₹10,000 a month","₹8,000 - ₹10,000 a month","Graduation/Post-Graduation Completed
Good Knowledge of English Language
Computer Skills (Ms-Word, Excel)
Job Types: Full-time, Walk-In
Salary: ₹8,000.00 to ₹10,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes",2020-06-06
Academic Sales Counselor,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","₹15,000 - ₹25,000 a month","- To give counselling to the students, suggest right course to the right candidate and parents while convincing them to take admission
- Converting walk-ins into enrolments
- Generate & manage enquiries & business through calling & taking follow ups on database received/collected through school/college activity/coaching activity/presentation/seminars/various advertisements etc.
- Follow up with students on phone, house calling, ensuring fresh walk-ins in the centre
- create database
- Should know & arrange different sources of data/consultants for business development
- Maintaining reports(daily, weekly, monthly, fee collection, projection, students records, service tax etc.)
- Manage & ensure timely fee collection from students every month
- To perform other administrative duties
- Communicating daily with management team, planning work schedules
- Checking staff & students requirements
- Coordinating with faculties to schedule batches
- Maintaining stock and keeping records of books issued to students
- Handling students grievances
- Attending management meetings/training’s
- Planning & implementing duties during exams
- Overseeing the upkeep of the centre
- Supervising staff & handling daily adhoc responsibilities
- Open for participation in education/job fairs
- Take ownership of the business and the centre
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 to ₹25,000.00 /month
Experience:
work: 3 years (Preferred)
total work: 3 years (Required)
Education:
Bachelor's (Preferred)
Language:
English (Required)
Work Remotely:
Temporarily due to COVID-19",2020-06-05
Personal Assistant,"Pune, Maharashtra","₹1,20,000 - ₹1,80,000 a year","₹1,20,000 - ₹1,80,000 a year","WE ARE A MANUFACTURER IN BHOSARI MIDC PUNE OUR COMPANY SINCE 2000
Job Type: Full-time
Salary: ₹120,000.00 to ₹180,000.00 /year
Experience:
total work: 1 year (Preferred)
personal assistant: 1 year (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Location:
Pune, Maharashtra (Preferred)
Language:
English (Preferred)
Typing Speed:
Less than 25 words per minute (Preferred)",2020-06-07
Know Your Client (KYC) Operato,"Pune, Maharashtra",,,"Job Title: Analyst/Sr Analyst
Location: Pune, India
Position Description

In accordance with Anti-Money Laundering Requirements, Banks, such as Deutsche Bank AG (""DB""), are obliged to perform Know-your-client (“KYC”) reviews on all new clients they adopt. These checks and reviews are made in strict accordance with regulatory requirement and the bank’s internal policies.
The project involves verification of the Client data, performing due diligence checks on the Clients, reviewing KYC documentation performing the risk assessment of the Client, liaising with the Business/Compliance, advising on KYC requirements and signing off on new client adoptions.
What we’ll offer you
As part of our flexible scheme, here are just some of the benefits that you’ll enjoy
Best in class leave policy
Gender neutral parental leaves
100% reimbursement under child care assistance benefit (gender neutral)
Flexible working arrangements
Sponsorship for Industry relevant certifications and education
Employee Assistance Program for you and your family members
Comprehensive Hospitalization Insurance for you and your dependents
Accident and Term life Insurance
Complementary Health screening for 35 yrs. and above
Your key responsibilities
Responsible for verification of Client data
Perform due diligence of new and existing clients covering a wide range of different client types including; Listed and Regulated, small/medium/ large private and public companies as well as more complex structures such as; SPVs, Co-operatives, Foundations and Funds, Governments, Joint Ventures, etc.
Verifying KYC documentation of the Clients to be adopted/reviewed
Perform the risk assessment of the Client to be adopted/reviewed
Signing off on new client adoptions and periodic reviews
Manage New Client Adoption or Periodic Review stream, to ensure that all requests are approved in accordance with regulatory requirements and the bank’s internal policies
Manage exception ensuring that all SLA’s defined with the Business on timeliness and quality are adhered
Your skills and experience
1 to 2 years of relevant work experience (AML/KYC/compliance related) within corporate financial services industry, Research/Analytics role in other Banks / KPOs etc
Understanding of Control, Compliance, Investigation/chasing functions in banks
Familiarity AML/KYC regulations and industry guidelines (FSA, JMLSG, 3rd EU Money Laundering Directive, MiFID)
Ability to interpret regulatory guidelines and assessing risk scores and entity types
Ability to interpreting alerts
Ability to identifying trends and inconsistencies
Understanding of end to end KYC process
Experience/Exposure
Graduates with good academic records
Exposure to draft procedures based on policies formulated by the Bank's AML Compliance departments.
Relevant KYC experience in any Financial Sector for 1-2 years
German Language experience and proficiency level -B2.2 above
How we’ll support you
Training and development to help you excel in your career
Flexible working to assist you balance your personal priorities
Coaching and support from experts in your team
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
About us and our teams
Please visit our company website for further information:
https://www.db.com/company/company.htm
Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.
We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.",2020-06-09
Maths & Science Higher Secondary Teacher,"Pune, Maharashtra","₹20,000 - ₹35,000 a month","₹20,000 - ₹35,000 a month","Dear Teachers,
Warm greetings from J.N.Petit Technical High School.
We have a requirement for Smart, Committed, Passionate,Energetic & Enthusiastic Math & Science Higher Secondary Teachers.
About the School: - J.N.Petit School is one of the oldest school in Pune,Maharashtra,India. The school was founded in Mumbai by Nusserwanjee Petit in 1888 in the memory of his son who died in the age of 32. It was shifted to Pune in 1948.
Job Description: -
1. Plan lessons and instruct students.
2. Assess students’ abilities, strengths, and weaknesses. Grade students’ assignments and exams.
3. Adapt lessons to changes in class size. Communicate with parents about students’ progress.
4. Work with individual students to challenge them and to improve their abilities.
5. Prepare students for standardized tests required by the state.
6. Develop and enforce classroom rules and administrative policies.
7. Supervise students outside of the classroom—for example, during lunchtime or detention.
8. Conduct online classes as & when required.
Work location: - 28 Bund Garden Road, Pune, Maharashtra, 411001. India.
Qualification: - BEd with work experience of more than 5 years, Excellent Computer knowledge, should be able to teach online & Excellent Communication skills in English.
Job Types: Full-time, Walk-In
Pay: ₹20,000.00 - ₹35,000.00 per month
COVID-19 considerations:
We conduct our interviews & selection procedures online.
Experience:
5 Years: 3 years (Required)
work: 5 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19",2020-06-03
Officer - Planning & Logistics,"Pune, Maharashtra",,,"Job Location: Pune
.
Ferrero is a family-owned company with a truly progressive and global outlook and iconic brands such as Nutella®, Tic Tac®, Ferrero Rocher®, Raffaello®, Kinder Bueno® and Kinder Surprise®. As the love for our brands continues to grow, so too does our global reach. Represented in 55 countries, with products sold in more than 170, the Ferrero Group is loved by generations around the world. The secret to our global success? Nearly 35,000 dedicated employees who celebrate care and quality to craft a business, careers and brands we are proud of. Join us, and you could be one of them.
About the Role:
As a Planning & Logistic Executive, the resource will be supporting KPS Operations Polo.
Especially, the scope of the role is to transversally support the Planning & Logistic team in daily tasks, as managing repots, analysis, data planning and back office activities
Main Responsibilities:
PLANNING
Creation and analysis of monthly KPI and Reports based on delivery schedule
Definition of key metrics to measure and improve suppliers’ performance
Collaborate with the team in terms of collecting delivery Schedule data from suppliers
Update consolidation file about dispatches in order to produce a big picture of India Polo planning
LOGISTIC
Supporting team in mold management: import, shifting between Indian suppliers and Ferrero WH
Cooperation in finalization of documentation related to Toys imports, invoices checks and shipments
Coordination and collaboration in new production toys and sample dispatches
SAP System
Sharing the accountability of the integrity of supply planning data within SAP APO
Cooperation in management of Invoice and Purchase orders
Who we are looking for:
Technical Graduation with 2-4 years of work experience
How to be successful in the role and at Ferrero:
Consumers, quality and care are at the heart of everything we do. So, to be successful at Ferrero, you’ll need to be just as consumer and product centric as we are - dedicated to crafting brilliant results for consumers around the world.",2020-06-08
MBA Fresher,"Pune, Maharashtra","₹15,000 a month","₹15,000 a month","Job Summary
Looking for MBA Freshers from any stream for corporate Sales & Marketing. Candidate Will be responsible for planning Development for the organization and will support in Advertising & Sales Promotion. Branding of the Product
Qualifications and Skills
Marketing Sales, Promotion,Advertising, corporate marketing,Event Management,promotions, branding, Production Planning,Budgeting,forecasting Business,Communication
Job Type: Full-time
Salary: ₹15,000.00 /month
Experience:
work: 1 year (Preferred)
Education:
Diploma (Preferred)",2020-06-08
Fashion designer,"Pune, Maharashtra",,,"Looking for a self motivated Fashion designer, mainly for women fashion. Expected to be able to work from designing to product ready phase. Communicate/meet with US clients in their US timing twice a week.
Job Types: Full-time, Part-time, Internship, Contract
Experience:
total work: 1 year (Preferred)
Fashion design: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Pune, Maharashtra (Preferred)
Required travel:
25% (Preferred)
Benefits:
Flexible work hours",2020-05-06
Online Tutor - Women Candidates Only,"Pune, Maharashtra","₹30,000 - ₹50,000 a month","₹30,000 - ₹50,000 a month","WhiteHat Jr was created to solve the #1 gap in the global school system today.
Today, in the computer age, less than 1% of schools teach coding in early childhood. Result, a major gap in the requirements of the new world and our children’s skills.
WhiteHat Jr prepares kids 6-14 for this new world. Kids learn fundamentals of coding--logic, structure, sequence and algorithmic thinking--to generate creative outcomes eg animations and apps
Minimal Coding Experience Required.
Job description :
Love Working with Kids? You've found your dream job.
Earn more than Rs 30,000 per month immediately.
Teach Online: Flexible Work Hours & Location.
Get Early Childhood Coding Expert Certification
You'll teach students aged 6-14 coding (logic, sequence, structure) to generate creative outcomes like websites, animations and apps.
All classes are taught live 1:1 online. Choose your own location and timing but please be available 4-8 p.m. daily and on weekends to maximize your earnings.
Responsibilities and Duties
Minimal coding experience is required
WhiteHat Jr provides curriculum and digital platform and trains you free as a Certified Early Childhood Coding Expert
Pre-Requisites Passion for Teaching Kids aged 6-14. High Speed Internet (Min. 2 MBPS)Modern Laptop/PC with Microphone and Camera
Fluency in English is a must
Get Certification from Discovery and Google Alumni
Required Experience, Skills and Qualifications
College Degree in Computer, Math, Science Fields preferred. Freshers can also apply.
Teacher, Work from Home, Online Tutor, Teaching, Home Tutor, coding teacher, computer teacher, home teacher, kids teacher
Benefits
Degrees: B.tech, M.tech, BCA, MCA, BE, ME
Coding Experience will be good to have
Job Types: Commission, Volunteer
Salary: ₹30,000.00 to ₹50,000.00 /month",2020-03-27
